,use_idf,max_df,tf-bias,num_epochs,recall,precision,distribution_diff
0,True,0.002,0.5,5,0.005565233389949781,0.03169262780763401,0.5911615877907425
0,True,0.003,0.5,5,0.006673635996590324,0.03716236277617013,0.588240717383294
0,True,0.004,0.5,5,0.007816751684387961,0.042338398174942206,0.5876267101959188
