use_idf	max_df	tf-bias	use_hidden_layer	num_epochs	recall@max_len	precision@10	distribution_diff	document_frequency
True	0.02	0.0	False	5	0.02628827294972294	0.12524114685290022	0.5482080196099216	0.03670235149489139
False	0.02	0.0	False	5	0.02623922574959981	0.12493603366077047	0.5473366552555541	0.036740222666639906
True	0.02	0.5	False	5	0.026198673536013694	0.12377254926743049	0.5479770667074498	0.03713973999877551
False	0.02	0.5	False	5	0.02621152505515719	0.12349570349011517	0.5479064671492686	0.036948168044201674
True	0.02	1.0	False	5	0.026123379731598156	0.12160543386887232	0.5436241710475893	0.037323778581312514
False	0.02	1.0	False	5	0.026072353881928176	0.12075415860810813	0.5425612699460992	0.03708756472853072
True	0.02	1.5	False	5	0.025931592723664437	0.11849420812537843	0.5376780454613785	0.0376440334115599
False	0.02	1.5	False	5	0.025881161437796348	0.11764646950631655	0.5369150338645798	0.03747287815279199
True	0.02	2.0	False	5	0.02573150638426643	0.11547793130678957	0.5311319590422019	0.03804346040418727
False	0.02	2.0	False	5	0.025637321093342526	0.11424193972688101	0.5293756194794736	0.03797144510009202
True	0.02	-999.0	False	5	0.025651564276515715	0.11524064316515775	0.5258704588802685	0.03777634826873926
False	0.02	-999.0	False	5	0.025669112268466753	0.11602882441062301	0.5236751562853735	0.037782022791117954
True	0.02	0.0	False	10	0.025670765672189923	0.1163432722096285	0.5260968429128376	0.03760651005059241
False	0.02	0.0	False	10	0.025673892310229256	0.11659634253415667	0.5282694040063818	0.03744833345059146
True	0.02	0.5	False	10	0.02567460781050286	0.1165816148273558	0.529385697261924	0.03736122801758603
False	0.02	0.5	False	10	0.025669570382545425	0.11654162138320137	0.5311628400843493	0.037222304792135744
True	0.02	1.0	False	10	0.025655874346355984	0.11620251573990795	0.5319068615904972	0.03723627621194335
False	0.02	1.0	False	10	0.025634172248371095	0.11596812191006942	0.5336465960624607	0.03712266828226087
True	0.02	1.5	False	10	0.025603757963538667	0.11535600238979898	0.5328295079502126	0.037200276961424285
False	0.02	1.5	False	10	0.025562979033527704	0.11484305063224168	0.5336061184963762	0.03710639736041142
True	0.02	2.0	False	10	0.025515063728526077	0.11391288785705747	0.5327325437033205	0.03729679852192708
False	0.02	2.0	False	10	0.025461699917557215	0.11322442388543391	0.5329155941460976	0.0372130589150468
True	0.02	-999.0	False	10	0.025437071129480703	0.1134669321358403	0.5313430483291232	0.037109105823685595
False	0.02	-999.0	False	10	0.025431127163921013	0.11377903132452331	0.5303660997454088	0.037095969001176364
True	0.03	0.0	False	5	0.025706002332790908	0.114951108994821	0.5307361526146939	0.03716792918835182
False	0.03	0.0	False	5	0.025954749656064754	0.11605128832553971	0.530684417836128	0.03722241947029542
