,use_idf,max_df,tf-bias,num_epochs,recall,precision,distribution_diff
0,True,0.002,0.5,5,0.004050715750157782,0.01851903908869597,0.3736608785226486
0,True,0.002,1.0,5,0.0040035264103928615,0.017651417022644802,0.36687581284757664
0,True,0.003,0.5,5,0.004588515666971446,0.02030859706337176,0.36868909969205604
0,True,0.003,1.0,5,0.004849357488330947,0.021267775940471266,0.3687705297335328
0,True,0.004,0.5,5,0.005378591775617166,0.02387416655183501,0.3684458456022628
0,True,0.004,1.0,5,0.0057163104009227824,0.02518018924257039,0.36886620156478395
